text,label
Scrolling for an hour and nothing feels real anymore.,reality_drift
"Every headline feels designed to provoke, not to inform.",reality_drift
"Conversations sound right, but the meaning keeps slipping.",reality_drift
"Online reviews all read the same—different names, same voice.",reality_drift
Group chats feel like parallel realities that never quite meet.,reality_drift
News cycles reset so fast that nothing seems to have consequences.,reality_drift
Photos from different events blur together into the same vibe.,reality_drift
Everyone saw a different version of the ‘same’ story today.,reality_drift
The internet feels like a stage set where the props keep changing.,reality_drift
I can’t tell if a trend is grassroots or algorithmically planted.,reality_drift
"Everything looks polished, but strangely hollow.",reality_drift
Two friends argue facts pulled from totally separate realities.,reality_drift
"The more I browse, the less I trust my own impressions.",reality_drift
Memories feel synced to the feed rather than to my life.,reality_drift
I watched five clips and forgot which ones were jokes.,reality_drift
Public debates feel like parallel monologues.,reality_drift
My sense of time online has no before or after—just now.,reality_drift
I recognize the format of sincerity more than sincerity itself.,reality_drift
The same story appears with new music and captions—new ‘truth’.,reality_drift
The internet feels like a museum where labels keep changing.,reality_drift
I can’t tell what counts as news versus marketing.,reality_drift
"After a day online, my offline conversations feel off-key.",reality_drift
"Everything feels slightly staged, like reality with a laugh track.",reality_drift
I notice tone more than substance because substance shifts.,reality_drift
I’m unsure if I remember events or the edits of those events.,reality_drift
"The influencer cried on camera, but the apology felt rehearsed.",synthetic_realness
That headshot looks perfect in a way no human face ever is.,synthetic_realness
The ad pretends to be a casual post from a friend.,synthetic_realness
The music video looks like a memory I never had.,synthetic_realness
Restaurant photos look delicious but impossible in person.,synthetic_realness
AI captions add warmth that wasn’t in the footage.,synthetic_realness
The podcast ‘ums’ were edited back in to sound natural.,synthetic_realness
The ‘live’ stream had cuts that only happen in edits.,synthetic_realness
The product reviews mention details not in the product.,synthetic_realness
A city skyline looked more cinematic than any real sky.,synthetic_realness
The couple’s ‘candid’ photo had marks of a photo shoot.,synthetic_realness
The travel vlog used stock sunsets as if they were personal.,synthetic_realness
That profile writes like a bot mimicking quirkiness.,synthetic_realness
A brand used slang that arrived two months late.,synthetic_realness
A celebrity’s ‘diary’ reads like a press release.,synthetic_realness
The documentary used AI voiceover to sound more trustworthy.,synthetic_realness
Every ‘spontaneous’ clip hits the same beats exactly.,synthetic_realness
The streamer’s room is rendered to look messier.,synthetic_realness
"Those dog photos have fur textures from an engine, not a lens.",synthetic_realness
The glitch was added to make the video feel authentic.,synthetic_realness
A review says ‘as a mom’ but the author doesn’t exist.,synthetic_realness
Event photos include people who weren’t there.,synthetic_realness
Testimonials all use the same sentence structure.,synthetic_realness
The recipe video shows steam added in post.,synthetic_realness
A ‘handwritten note’ has fonts that never vary.,synthetic_realness
"Too many options, too many filters—I don’t want to choose.",filter_fatigue
"After an hour of reviews, I feel more confused than clear.",filter_fatigue
I closed the app because the recommendation list never ends.,filter_fatigue
I keep tweaking search terms and getting the same results.,filter_fatigue
Choosing a movie takes longer than watching one.,filter_fatigue
I bounced between five carts and bought nothing.,filter_fatigue
Endless playlists make me forget why I opened the app.,filter_fatigue
Notifications pile up until I mute everything.,filter_fatigue
I scroll past opportunities because I’m tired of deciding.,filter_fatigue
I saved a hundred links I’ll never read.,filter_fatigue
I tried all the filters and none felt right.,filter_fatigue
Comparison tables make simple choices feel like exams.,filter_fatigue
I’m exhausted by perfect thumbnails and zero substance.,filter_fatigue
I skip options that require another login or quiz.,filter_fatigue
Curated pages feel like mazes with no exit.,filter_fatigue
I follow guides and still second-guess the choice.,filter_fatigue
I delay decisions hoping the algorithm will pick for me.,filter_fatigue
I’m overwhelmed by micro-choices inside every app.,filter_fatigue
"The more the app personalizes, the less I want anything.",filter_fatigue
I abandon forms when the steps keep unfolding.,filter_fatigue
Every platform insists on ‘just one more’ preference.,filter_fatigue
I can’t tell which recommendation is sponsored or organic.,filter_fatigue
Shopping fatigue: free returns make me buy nothing at all.,filter_fatigue
I default to the same creator because choosing is tiring.,filter_fatigue
I ignore new features because I’m tired of re-learning apps.,filter_fatigue
We hit the KPI and somehow made the product worse.,optimization_trap
The classroom teaches the test instead of ideas.,optimization_trap
My workout app prizes streaks over recovery.,optimization_trap
Writers chase clicks and lose their voice.,optimization_trap
"Customer support optimizes handle time, not help.",optimization_trap
"Creators post daily to stay in the algorithm, not to say something.",optimization_trap
Managers gamify output and burn out the team.,optimization_trap
A hospital optimizes bed turnover over patient rest.,optimization_trap
Recruiters scan keywords and miss the human.,optimization_trap
A news site optimizes for shares and flattens nuance.,optimization_trap
Students optimize grades and forget the learning.,optimization_trap
Apps chase engagement loops over user value.,optimization_trap
Companies ship dark patterns that increase conversion.,optimization_trap
Cities optimize traffic flow and destroy sidewalks.,optimization_trap
A charity optimizes overhead ratios over impact.,optimization_trap
Teams set ‘stretch goals’ that break quality.,optimization_trap
"Search results optimize SEO tricks, not answers.",optimization_trap
Restaurants optimize Instagram appeal over taste.,optimization_trap
"Creators rewrite bios for the algorithm, not people.",optimization_trap
Teachers shorten lessons to improve completion rates.,optimization_trap
A startup cuts support to improve runway.,optimization_trap
Dashboards look great while the experience degrades.,optimization_trap
Meeting metrics improve while decisions get worse.,optimization_trap
The model maximizes accuracy and amplifies bias.,optimization_trap
I optimize my calendar and lose any free time.,optimization_trap
